nombre,correo,telefono,servicio,canal,canal_origen,hora_contacto,dias_desde_contacto,mensaje_largo,urgencia,interes_activo
Lead 289,lead289@mail.com,931320139,Endodoncia,WhatsApp,Grupo de ofertas,15,24,0,1,1
Lead 290,lead290@mail.com,957230658,Ortodoncia,Otro,Anuncio Google,14,3,1,0,1
Lead 291,lead291@mail.com,999148776,Limpieza dental,Facebook,Formulario FB,12,13,0,0,0
Lead 292,lead292@mail.com,956350911,Implantes,TikTok,DM TikTok,7,4,0,0,0
Lead 293,lead293@mail.com,919714891,Implantes,Otro,Anuncio Google,12,19,0,0,0
Lead 294,lead294@mail.com,988774891,Blanqueamiento,Otro,Landing page,11,16,1,1,1
Lead 295,lead295@mail.com,963175588,Evaluación general,TikTok,DM TikTok,17,28,0,1,1
Lead 296,lead296@mail.com,925702852,Limpieza dental,Otro,Anuncio Google,10,25,0,0,0
Lead 297,lead297@mail.com,957876337,Blanqueamiento,Instagram,Comentario IG,7,16,0,0,0
Lead 298,lead298@mail.com,985643942,Limpieza dental,Instagram,Historia,14,26,0,1,0
Lead 299,lead299@mail.com,972926675,Blanqueamiento,Otro,Anuncio Google,21,23,0,0,0
Lead 300,lead300@mail.com,983798006,Blanqueamiento,Otro,Anuncio Google,13,29,0,0,0
Lead 301,lead301@mail.com,977908965,Implantes,Instagram,Inbox IG,14,17,0,0,1
Lead 302,lead302@mail.com,940555353,Limpieza dental,WhatsApp,Grupo de ofertas,11,14,0,0,0
Lead 303,lead303@mail.com,999588014,Limpieza dental,WhatsApp,Mensaje directo,17,9,0,0,0
Lead 304,lead304@mail.com,997030560,Ortodoncia,Facebook,Formulario FB,14,16,0,1,0
Lead 305,lead305@mail.com,973072616,Blanqueamiento,WhatsApp,Mensaje directo,7,18,1,1,0
Lead 306,lead306@mail.com,946181576,Blanqueamiento,Instagram,Inbox IG,16,29,0,1,1
Lead 307,lead307@mail.com,941935646,Blanqueamiento,Instagram,Historia,7,8,1,0,1
Lead 308,lead308@mail.com,958719461,Blanqueamiento,Facebook,Comentario FB,15,10,1,0,1
Lead 309,lead309@mail.com,932910282,Evaluación general,WhatsApp,Mensaje directo,9,5,1,1,1
Lead 310,lead310@mail.com,932371392,Evaluación general,Instagram,Comentario IG,7,23,0,0,0
Lead 311,lead311@mail.com,958076248,Blanqueamiento,Otro,Landing page,18,25,0,0,0
Lead 312,lead312@mail.com,951655138,Evaluación general,Facebook,Mensaje FB,7,16,0,0,1
Lead 313,lead313@mail.com,957732820,Evaluación general,WhatsApp,Mensaje directo,14,13,0,0,0
Lead 314,lead314@mail.com,975147544,Evaluación general,TikTok,DM TikTok,16,7,0,0,1
Lead 315,lead315@mail.com,970795662,Blanqueamiento,WhatsApp,Mensaje directo,18,4,0,0,0
Lead 316,lead316@mail.com,988308332,Limpieza dental,Instagram,Comentario IG,17,15,0,0,0
Lead 317,lead317@mail.com,983701774,Implantes,Instagram,Comentario IG,11,22,0,1,1
Lead 318,lead318@mail.com,943812949,Implantes,Instagram,Inbox IG,15,3,1,0,0
Lead 319,lead319@mail.com,969468269,Implantes,Facebook,Formulario FB,9,1,0,0,0
Lead 320,lead320@mail.com,981226787,Blanqueamiento,Otro,Anuncio Google,17,28,1,0,1
Lead 321,lead321@mail.com,977284075,Limpieza dental,Otro,Landing page,20,17,0,1,0
Lead 322,lead322@mail.com,930668329,Blanqueamiento,Instagram,Historia,16,6,0,0,1
Lead 323,lead323@mail.com,923952821,Evaluación general,Instagram,Comentario IG,19,9,1,0,1
Lead 324,lead324@mail.com,943766262,Blanqueamiento,Facebook,Comentario FB,7,11,0,0,0
Lead 325,lead325@mail.com,984006537,Ortodoncia,Otro,Landing page,12,21,0,0,0
Lead 326,lead326@mail.com,987827225,Blanqueamiento,Instagram,Inbox IG,14,25,0,1,0
Lead 327,lead327@mail.com,975174694,Implantes,Instagram,Comentario IG,17,4,0,0,0
Lead 328,lead328@mail.com,960526894,Endodoncia,WhatsApp,Grupo de ofertas,16,24,0,0,0
Lead 329,lead329@mail.com,982892046,Blanqueamiento,WhatsApp,Grupo de ofertas,7,2,1,0,0
Lead 330,lead330@mail.com,940131276,Ortodoncia,Otro,Anuncio Google,9,27,0,0,0
Lead 331,lead331@mail.com,942833108,Implantes,Otro,Landing page,19,24,0,1,1
Lead 332,lead332@mail.com,977951050,Implantes,WhatsApp,Grupo de ofertas,8,2,0,0,0
Lead 333,lead333@mail.com,978233769,Implantes,Instagram,Comentario IG,13,23,0,0,0
Lead 334,lead334@mail.com,918593059,Evaluación general,Instagram,Inbox IG,22,6,1,0,0
Lead 335,lead335@mail.com,939737667,Limpieza dental,Instagram,Inbox IG,9,8,0,0,0
Lead 336,lead336@mail.com,975147039,Limpieza dental,Instagram,Comentario IG,19,16,1,0,1
Lead 337,lead337@mail.com,960825596,Endodoncia,TikTok,Live,11,7,1,0,0
Lead 338,lead338@mail.com,992438757,Limpieza dental,Instagram,Inbox IG,16,2,0,0,0
Lead 339,lead339@mail.com,996437411,Endodoncia,WhatsApp,Mensaje directo,7,2,1,0,1
Lead 340,lead340@mail.com,923863529,Endodoncia,Instagram,Comentario IG,11,12,0,0,1
Lead 341,lead341@mail.com,947201803,Ortodoncia,Instagram,Inbox IG,20,29,0,0,0
Lead 342,lead342@mail.com,933255666,Blanqueamiento,Instagram,Comentario IG,14,19,0,0,1
Lead 343,lead343@mail.com,975749277,Blanqueamiento,Otro,Anuncio Google,14,21,1,1,1
Lead 344,lead344@mail.com,921654304,Blanqueamiento,Facebook,Mensaje FB,11,19,0,0,0
Lead 345,lead345@mail.com,946968086,Evaluación general,TikTok,Live,11,15,0,0,1
Lead 346,lead346@mail.com,951765312,Limpieza dental,WhatsApp,Mensaje directo,8,12,0,0,0
Lead 347,lead347@mail.com,977342646,Evaluación general,TikTok,DM TikTok,17,2,0,0,0
Lead 348,lead348@mail.com,978903155,Endodoncia,Instagram,Historia,12,2,1,0,0
Lead 349,lead349@mail.com,934151842,Evaluación general,Facebook,Formulario FB,16,11,1,0,0
Lead 350,lead350@mail.com,936779149,Implantes,TikTok,DM TikTok,20,23,0,0,1
Lead 351,lead351@mail.com,920091985,Blanqueamiento,TikTok,Live,15,14,0,0,0
Lead 352,lead352@mail.com,955545724,Ortodoncia,WhatsApp,Grupo de ofertas,20,19,0,1,0
Lead 353,lead353@mail.com,973607605,Endodoncia,Instagram,Comentario IG,12,0,1,0,0
Lead 354,lead354@mail.com,953193996,Evaluación general,Facebook,Formulario FB,20,28,0,1,0
Lead 355,lead355@mail.com,985013292,Endodoncia,Facebook,Formulario FB,11,1,0,0,1
Lead 356,lead356@mail.com,936379085,Ortodoncia,Instagram,Comentario IG,18,11,1,0,1
Lead 357,lead357@mail.com,985968554,Ortodoncia,Facebook,Mensaje FB,10,17,0,1,1
Lead 358,lead358@mail.com,928392993,Endodoncia,Facebook,Comentario FB,20,1,0,0,1
Lead 359,lead359@mail.com,942363575,Implantes,Facebook,Comentario FB,16,24,0,1,1
Lead 360,lead360@mail.com,916210715,Ortodoncia,WhatsApp,Mensaje directo,21,8,0,0,1
Lead 361,lead361@mail.com,950467715,Evaluación general,Otro,Anuncio Google,20,13,0,0,1
Lead 362,lead362@mail.com,985173084,Blanqueamiento,TikTok,Live,10,6,0,0,0
Lead 363,lead363@mail.com,959839731,Evaluación general,Instagram,Inbox IG,10,3,0,0,1
Lead 364,lead364@mail.com,965339989,Limpieza dental,WhatsApp,Grupo de ofertas,21,29,0,0,0
Lead 365,lead365@mail.com,952537345,Implantes,Otro,Landing page,20,6,1,0,1
Lead 366,lead366@mail.com,962010809,Implantes,Facebook,Mensaje FB,20,26,0,0,0
Lead 367,lead367@mail.com,928463212,Blanqueamiento,TikTok,Live,14,6,0,0,0
Lead 368,lead368@mail.com,978660194,Endodoncia,WhatsApp,Mensaje directo,11,20,1,1,1
Lead 369,lead369@mail.com,993713817,Limpieza dental,TikTok,Live,7,27,0,0,0
Lead 370,lead370@mail.com,913815144,Endodoncia,Instagram,Inbox IG,20,3,1,0,0
Lead 371,lead371@mail.com,944982512,Ortodoncia,TikTok,Live,19,19,1,0,0
Lead 372,lead372@mail.com,969772463,Blanqueamiento,Instagram,Comentario IG,15,16,0,1,0
Lead 373,lead373@mail.com,964254875,Endodoncia,Otro,Anuncio Google,19,0,1,0,0
Lead 374,lead374@mail.com,996687822,Blanqueamiento,WhatsApp,Mensaje directo,17,22,0,1,0
Lead 375,lead375@mail.com,993860395,Evaluación general,Instagram,Comentario IG,7,27,0,1,1
Lead 376,lead376@mail.com,921963776,Implantes,Facebook,Mensaje FB,7,22,0,0,1
Lead 377,lead377@mail.com,990566548,Implantes,Otro,Anuncio Google,19,18,0,0,0
Lead 378,lead378@mail.com,930681938,Evaluación general,WhatsApp,Mensaje directo,14,25,0,1,0
Lead 379,lead379@mail.com,927406301,Implantes,WhatsApp,Grupo de ofertas,13,18,0,0,1
Lead 380,lead380@mail.com,970966110,Ortodoncia,Instagram,Historia,12,7,0,0,1
Lead 381,lead381@mail.com,933250723,Implantes,TikTok,Live,14,7,0,0,0
Lead 382,lead382@mail.com,955961405,Blanqueamiento,Facebook,Comentario FB,20,3,1,0,0
Lead 383,lead383@mail.com,996786817,Limpieza dental,Otro,Anuncio Google,21,17,0,0,0
Lead 384,lead384@mail.com,910981883,Evaluación general,Otro,Anuncio Google,12,12,0,0,0
Lead 385,lead385@mail.com,915418952,Evaluación general,TikTok,Live,8,10,0,0,0
Lead 386,lead386@mail.com,933948053,Endodoncia,Instagram,Historia,15,7,0,0,0
Lead 387,lead387@mail.com,964610032,Limpieza dental,Instagram,Inbox IG,10,29,1,0,0
Lead 388,lead388@mail.com,921872752,Ortodoncia,Instagram,Inbox IG,14,20,0,1,0
Lead 389,lead389@mail.com,951434749,Evaluación general,WhatsApp,Mensaje directo,18,8,0,0,1
Lead 390,lead390@mail.com,942469247,Ortodoncia,Otro,Landing page,14,13,1,0,0
Lead 391,lead391@mail.com,946785617,Blanqueamiento,Facebook,Formulario FB,12,21,1,1,1
Lead 392,lead392@mail.com,994370894,Endodoncia,TikTok,DM TikTok,8,28,0,0,0
Lead 393,lead393@mail.com,945908279,Implantes,Instagram,Inbox IG,9,22,1,0,0
Lead 394,lead394@mail.com,958495982,Endodoncia,WhatsApp,Grupo de ofertas,9,21,0,0,0
Lead 395,lead395@mail.com,943121540,Limpieza dental,Facebook,Mensaje FB,15,4,0,0,1
Lead 396,lead396@mail.com,915627745,Blanqueamiento,WhatsApp,Grupo de ofertas,9,0,0,0,0
Lead 397,lead397@mail.com,912253722,Endodoncia,Instagram,Inbox IG,17,24,0,0,0
Lead 398,lead398@mail.com,928458857,Limpieza dental,Otro,Anuncio Google,8,8,0,0,0
Lead 399,lead399@mail.com,998362401,Endodoncia,WhatsApp,Mensaje directo,16,25,0,0,0
Lead 400,lead400@mail.com,916739013,Limpieza dental,WhatsApp,Mensaje directo,11,24,0,0,0
Lead 401,lead401@mail.com,924263315,Limpieza dental,Facebook,Comentario FB,14,18,1,0,0
Lead 402,lead402@mail.com,918074037,Implantes,Facebook,Mensaje FB,16,23,0,0,0
Lead 403,lead403@mail.com,965608376,Endodoncia,TikTok,DM TikTok,14,6,0,0,0
Lead 404,lead404@mail.com,929992066,Blanqueamiento,Instagram,Inbox IG,19,19,0,1,1
Lead 405,lead405@mail.com,951822973,Blanqueamiento,Instagram,Inbox IG,14,4,0,0,0
Lead 406,lead406@mail.com,951266066,Endodoncia,Instagram,Historia,14,1,0,0,1
Lead 407,lead407@mail.com,966775993,Blanqueamiento,TikTok,Live,7,13,0,0,0
Lead 408,lead408@mail.com,977399862,Implantes,Facebook,Comentario FB,12,20,1,0,0
Lead 409,lead409@mail.com,996401499,Ortodoncia,Instagram,Inbox IG,7,22,0,0,1
Lead 410,lead410@mail.com,974416144,Evaluación general,WhatsApp,Mensaje directo,17,14,1,1,0
Lead 411,lead411@mail.com,947937226,Evaluación general,Otro,Landing page,12,3,0,0,0
Lead 412,lead412@mail.com,956801033,Limpieza dental,Instagram,Inbox IG,13,8,1,0,0
Lead 413,lead413@mail.com,953682501,Blanqueamiento,WhatsApp,Grupo de ofertas,8,2,0,0,0
Lead 414,lead414@mail.com,939168537,Implantes,WhatsApp,Grupo de ofertas,7,26,0,1,1
Lead 415,lead415@mail.com,998849481,Endodoncia,TikTok,DM TikTok,9,4,1,0,0
Lead 416,lead416@mail.com,923487010,Blanqueamiento,TikTok,Live,22,4,1,0,1
Lead 417,lead417@mail.com,980760251,Blanqueamiento,WhatsApp,Grupo de ofertas,7,23,1,0,1
Lead 418,lead418@mail.com,967563860,Evaluación general,Otro,Anuncio Google,18,27,0,1,1
Lead 419,lead419@mail.com,910019675,Ortodoncia,WhatsApp,Mensaje directo,20,23,0,0,1
Lead 420,lead420@mail.com,914464344,Limpieza dental,TikTok,Live,20,23,1,0,1
Lead 421,lead421@mail.com,910658003,Endodoncia,Facebook,Comentario FB,19,5,0,0,1
Lead 422,lead422@mail.com,925433222,Implantes,Instagram,Inbox IG,8,25,0,0,0
Lead 423,lead423@mail.com,940647215,Evaluación general,TikTok,DM TikTok,12,14,0,0,0
Lead 424,lead424@mail.com,961844408,Limpieza dental,Instagram,Inbox IG,13,20,0,0,0
Lead 425,lead425@mail.com,925851428,Implantes,Instagram,Comentario IG,11,25,1,0,0
Lead 426,lead426@mail.com,934723448,Endodoncia,Otro,Anuncio Google,14,16,0,1,0
Lead 427,lead427@mail.com,939489478,Evaluación general,Facebook,Comentario FB,19,8,0,0,0
Lead 428,lead428@mail.com,927456057,Endodoncia,WhatsApp,Grupo de ofertas,12,22,0,1,1
Lead 429,lead429@mail.com,941770093,Implantes,Otro,Anuncio Google,17,8,1,0,0
Lead 430,lead430@mail.com,936737775,Blanqueamiento,WhatsApp,Mensaje directo,12,1,0,0,0
Lead 431,lead431@mail.com,970910677,Ortodoncia,Otro,Anuncio Google,15,1,0,1,0
Lead 432,lead432@mail.com,949993954,Evaluación general,Instagram,Comentario IG,18,23,1,0,1
Lead 433,lead433@mail.com,946319763,Implantes,Otro,Anuncio Google,22,18,1,0,1
Lead 434,lead434@mail.com,922155092,Blanqueamiento,Instagram,Inbox IG,16,3,1,0,1
Lead 435,lead435@mail.com,979748793,Implantes,Facebook,Comentario FB,21,21,0,0,0
Lead 436,lead436@mail.com,922756935,Endodoncia,Facebook,Formulario FB,18,25,0,0,1
Lead 437,lead437@mail.com,970974870,Blanqueamiento,Otro,Landing page,18,0,0,0,0
Lead 438,lead438@mail.com,979863927,Blanqueamiento,TikTok,DM TikTok,15,26,0,0,0
Lead 439,lead439@mail.com,951156180,Ortodoncia,WhatsApp,Mensaje directo,18,9,0,0,0
Lead 440,lead440@mail.com,996717649,Implantes,Instagram,Inbox IG,14,22,0,0,0
Lead 441,lead441@mail.com,967678210,Blanqueamiento,Otro,Landing page,16,27,0,0,0
Lead 442,lead442@mail.com,928737371,Ortodoncia,TikTok,DM TikTok,19,2,1,0,0
Lead 443,lead443@mail.com,912843236,Ortodoncia,TikTok,DM TikTok,7,22,0,1,0
Lead 444,lead444@mail.com,932362925,Endodoncia,Instagram,Inbox IG,10,29,0,0,0
Lead 445,lead445@mail.com,937640477,Blanqueamiento,Facebook,Comentario FB,13,15,1,0,1
Lead 446,lead446@mail.com,935698550,Blanqueamiento,Otro,Landing page,19,1,0,1,1
Lead 447,lead447@mail.com,954918675,Ortodoncia,WhatsApp,Mensaje directo,22,26,0,0,1
Lead 448,lead448@mail.com,971963740,Endodoncia,Facebook,Comentario FB,8,25,0,0,1
Lead 449,lead449@mail.com,992959736,Evaluación general,Instagram,Comentario IG,15,19,1,0,0
Lead 450,lead450@mail.com,939012949,Limpieza dental,Instagram,Comentario IG,17,1,1,0,0
Lead 451,lead451@mail.com,967888503,Blanqueamiento,Facebook,Formulario FB,9,11,0,0,0
Lead 452,lead452@mail.com,999856306,Endodoncia,TikTok,DM TikTok,16,29,1,0,0
Lead 453,lead453@mail.com,947043861,Implantes,Instagram,Comentario IG,21,17,1,0,0
Lead 454,lead454@mail.com,915432019,Blanqueamiento,Otro,Anuncio Google,7,4,1,1,1
Lead 455,lead455@mail.com,990021414,Limpieza dental,Otro,Anuncio Google,19,15,0,0,1
Lead 456,lead456@mail.com,972612095,Endodoncia,WhatsApp,Mensaje directo,12,8,0,1,1
Lead 457,lead457@mail.com,935793044,Endodoncia,Facebook,Comentario FB,21,2,0,0,0
Lead 458,lead458@mail.com,970186000,Limpieza dental,TikTok,Live,9,24,0,0,0
Lead 459,lead459@mail.com,914058848,Blanqueamiento,WhatsApp,Mensaje directo,13,8,1,0,1
Lead 460,lead460@mail.com,929339821,Blanqueamiento,Otro,Anuncio Google,12,26,0,0,0
Lead 461,lead461@mail.com,944575901,Evaluación general,Facebook,Comentario FB,12,13,1,0,0
Lead 462,lead462@mail.com,960794649,Implantes,Instagram,Inbox IG,21,13,0,0,0
Lead 463,lead463@mail.com,968149762,Evaluación general,TikTok,DM TikTok,12,22,0,0,0
Lead 464,lead464@mail.com,944020414,Evaluación general,WhatsApp,Grupo de ofertas,16,18,1,0,0
Lead 465,lead465@mail.com,963009395,Blanqueamiento,TikTok,DM TikTok,15,26,0,0,0
Lead 466,lead466@mail.com,973881480,Implantes,TikTok,DM TikTok,20,23,1,0,1
Lead 467,lead467@mail.com,978667106,Ortodoncia,Otro,Landing page,22,0,0,0,0
Lead 468,lead468@mail.com,919618395,Implantes,Instagram,Inbox IG,15,26,1,0,1
Lead 469,lead469@mail.com,915051646,Evaluación general,WhatsApp,Mensaje directo,14,1,0,0,0
Lead 470,lead470@mail.com,997217186,Evaluación general,Otro,Anuncio Google,13,15,0,0,1
Lead 471,lead471@mail.com,991061139,Limpieza dental,Otro,Anuncio Google,17,13,1,0,1
Lead 472,lead472@mail.com,915994376,Ortodoncia,TikTok,Live,11,2,0,0,0
Lead 473,lead473@mail.com,984931500,Implantes,Instagram,Comentario IG,10,2,1,1,1
Lead 474,lead474@mail.com,963789198,Evaluación general,TikTok,Live,13,14,0,1,0
Lead 475,lead475@mail.com,937090738,Ortodoncia,Instagram,Comentario IG,15,18,1,0,0
Lead 476,lead476@mail.com,938748123,Endodoncia,Instagram,Comentario IG,12,19,1,0,0
Lead 477,lead477@mail.com,965967937,Evaluación general,Instagram,Comentario IG,18,3,0,0,0
Lead 478,lead478@mail.com,913100581,Evaluación general,TikTok,DM TikTok,14,1,0,1,1
Lead 479,lead479@mail.com,971842137,Ortodoncia,Instagram,Historia,12,21,0,0,0
Lead 480,lead480@mail.com,928130540,Evaluación general,Otro,Landing page,17,7,0,0,0
Lead 481,lead481@mail.com,993719991,Endodoncia,Facebook,Formulario FB,7,2,0,0,0
Lead 482,lead482@mail.com,999408647,Limpieza dental,Otro,Anuncio Google,7,12,0,1,1
Lead 483,lead483@mail.com,951011120,Limpieza dental,Facebook,Formulario FB,17,19,0,0,0
Lead 484,lead484@mail.com,927962327,Endodoncia,Facebook,Comentario FB,22,29,0,0,0
Lead 485,lead485@mail.com,941834022,Endodoncia,WhatsApp,Mensaje directo,11,16,0,0,0
Lead 486,lead486@mail.com,966251274,Implantes,Otro,Landing page,13,8,0,0,1
Lead 487,lead487@mail.com,941175239,Ortodoncia,Instagram,Inbox IG,19,13,0,0,0
Lead 488,lead488@mail.com,958491820,Limpieza dental,Otro,Landing page,14,28,1,0,1
Lead 489,lead489@mail.com,919035949,Evaluación general,Instagram,Inbox IG,16,6,1,0,0
Lead 490,lead490@mail.com,938751505,Limpieza dental,Instagram,Comentario IG,13,29,0,0,0
Lead 491,lead491@mail.com,921044590,Ortodoncia,Otro,Anuncio Google,8,3,0,0,0
Lead 492,lead492@mail.com,957336078,Implantes,Instagram,Inbox IG,18,7,1,0,1
Lead 493,lead493@mail.com,966002354,Blanqueamiento,TikTok,DM TikTok,15,6,0,0,0
Lead 494,lead494@mail.com,990846200,Limpieza dental,Facebook,Formulario FB,17,12,0,0,0
Lead 495,lead495@mail.com,926938661,Blanqueamiento,Otro,Anuncio Google,13,27,0,0,0
Lead 496,lead496@mail.com,915337355,Endodoncia,Otro,Landing page,9,15,1,1,0
Lead 497,lead497@mail.com,954768534,Implantes,Facebook,Formulario FB,9,10,0,0,1
Lead 498,lead498@mail.com,981797346,Ortodoncia,Facebook,Mensaje FB,14,24,0,0,0
Lead 499,lead499@mail.com,942337259,Endodoncia,Facebook,Mensaje FB,19,22,0,1,0
Lead 500,lead500@mail.com,932005782,Evaluación general,Otro,Landing page,8,2,0,0,0
Lead 501,lead501@mail.com,987678179,Implantes,TikTok,DM TikTok,14,10,0,0,0
Lead 502,lead502@mail.com,999079814,Blanqueamiento,Instagram,Historia,18,0,0,0,1
Lead 503,lead503@mail.com,984042569,Implantes,WhatsApp,Grupo de ofertas,10,4,1,0,1
Lead 504,lead504@mail.com,924512253,Implantes,TikTok,Live,18,17,0,0,1
Lead 505,lead505@mail.com,986113335,Implantes,TikTok,DM TikTok,17,16,0,1,0
Lead 506,lead506@mail.com,982325956,Limpieza dental,Instagram,Comentario IG,18,5,0,0,1
Lead 507,lead507@mail.com,933846553,Implantes,Instagram,Historia,20,23,1,0,1
Lead 508,lead508@mail.com,913033349,Implantes,Instagram,Historia,17,13,0,0,1
Lead 509,lead509@mail.com,989108265,Blanqueamiento,Instagram,Historia,17,28,0,0,0
Lead 510,lead510@mail.com,970692680,Endodoncia,Otro,Anuncio Google,18,4,0,0,0
Lead 511,lead511@mail.com,955148268,Ortodoncia,WhatsApp,Mensaje directo,7,28,0,1,1
Lead 512,lead512@mail.com,914327308,Implantes,TikTok,DM TikTok,22,15,1,1,1
Lead 513,lead513@mail.com,971482337,Ortodoncia,Facebook,Comentario FB,8,12,1,1,1
Lead 514,lead514@mail.com,996963179,Evaluación general,Otro,Landing page,22,12,0,0,0
Lead 515,lead515@mail.com,997979966,Blanqueamiento,Otro,Anuncio Google,11,11,1,0,1
Lead 516,lead516@mail.com,914889084,Evaluación general,Instagram,Inbox IG,14,28,0,0,0
Lead 517,lead517@mail.com,969322532,Endodoncia,Facebook,Comentario FB,7,2,1,0,0
Lead 518,lead518@mail.com,912975605,Endodoncia,Otro,Anuncio Google,13,20,0,1,0
Lead 519,lead519@mail.com,938911861,Implantes,Facebook,Comentario FB,9,26,1,0,0
Lead 520,lead520@mail.com,918978989,Endodoncia,WhatsApp,Grupo de ofertas,11,21,1,0,0
Lead 521,lead521@mail.com,972953195,Ortodoncia,TikTok,DM TikTok,16,11,1,1,1
Lead 522,lead522@mail.com,977530144,Implantes,Otro,Landing page,10,5,0,0,0
Lead 523,lead523@mail.com,989534578,Evaluación general,Otro,Anuncio Google,20,23,0,0,0
Lead 524,lead524@mail.com,974505778,Limpieza dental,WhatsApp,Grupo de ofertas,8,16,1,1,1
Lead 525,lead525@mail.com,976633032,Evaluación general,Otro,Anuncio Google,21,14,0,1,1
Lead 526,lead526@mail.com,946355877,Ortodoncia,Instagram,Inbox IG,14,19,0,0,0
Lead 527,lead527@mail.com,975626102,Endodoncia,Facebook,Mensaje FB,9,26,0,1,1
Lead 528,lead528@mail.com,931614133,Ortodoncia,Instagram,Comentario IG,22,17,0,0,0
Lead 529,lead529@mail.com,999796264,Endodoncia,TikTok,DM TikTok,16,9,0,0,0
Lead 530,lead530@mail.com,966483185,Limpieza dental,Facebook,Mensaje FB,14,2,0,1,1
Lead 531,lead531@mail.com,992117696,Limpieza dental,TikTok,DM TikTok,14,25,1,0,1
Lead 532,lead532@mail.com,991272708,Ortodoncia,Instagram,Historia,10,24,0,0,1
Lead 533,lead533@mail.com,991079560,Blanqueamiento,Instagram,Inbox IG,18,8,1,1,1
Lead 534,lead534@mail.com,931777762,Endodoncia,Instagram,Comentario IG,8,13,0,0,1
Lead 535,lead535@mail.com,936150956,Blanqueamiento,Otro,Landing page,14,2,0,0,0
Lead 536,lead536@mail.com,912681206,Limpieza dental,WhatsApp,Mensaje directo,19,18,0,0,1
Lead 537,lead537@mail.com,955545655,Endodoncia,TikTok,DM TikTok,8,9,0,0,1
Lead 538,lead538@mail.com,979441078,Limpieza dental,Otro,Landing page,21,27,1,0,1
Lead 539,lead539@mail.com,976469096,Limpieza dental,WhatsApp,Grupo de ofertas,17,21,0,0,0
Lead 540,lead540@mail.com,951280792,Implantes,WhatsApp,Mensaje directo,20,20,0,0,0
Lead 541,lead541@mail.com,948362595,Limpieza dental,Facebook,Comentario FB,12,16,1,1,1
Lead 542,lead542@mail.com,978304749,Evaluación general,Facebook,Mensaje FB,14,21,0,0,0
Lead 543,lead543@mail.com,986776652,Evaluación general,Instagram,Historia,10,20,1,0,0
Lead 544,lead544@mail.com,940031137,Endodoncia,Instagram,Inbox IG,17,22,1,0,1
Lead 545,lead545@mail.com,931847630,Ortodoncia,Facebook,Mensaje FB,8,23,0,0,0
Lead 546,lead546@mail.com,993650853,Blanqueamiento,TikTok,Live,15,16,0,0,0
Lead 547,lead547@mail.com,922663723,Blanqueamiento,Facebook,Formulario FB,7,22,0,0,0
Lead 548,lead548@mail.com,920670216,Endodoncia,Otro,Anuncio Google,15,28,1,1,1
Lead 549,lead549@mail.com,979297234,Limpieza dental,Facebook,Formulario FB,17,1,0,0,0
Lead 550,lead550@mail.com,957423958,Implantes,Otro,Anuncio Google,7,5,0,1,1
Lead 551,lead551@mail.com,928740105,Blanqueamiento,Otro,Landing page,16,28,0,0,0
Lead 552,lead552@mail.com,957406955,Ortodoncia,TikTok,DM TikTok,21,22,0,1,1
Lead 553,lead553@mail.com,938589907,Endodoncia,TikTok,Live,17,16,0,1,1
Lead 554,lead554@mail.com,992892079,Evaluación general,Instagram,Inbox IG,9,18,0,0,0
Lead 555,lead555@mail.com,950476415,Evaluación general,WhatsApp,Mensaje directo,13,27,1,0,1
Lead 556,lead556@mail.com,954042449,Ortodoncia,TikTok,Live,20,2,0,0,0
Lead 557,lead557@mail.com,925168970,Ortodoncia,Otro,Anuncio Google,11,12,0,0,0
Lead 558,lead558@mail.com,930137708,Ortodoncia,Facebook,Comentario FB,12,23,0,0,0
Lead 559,lead559@mail.com,923431835,Blanqueamiento,TikTok,DM TikTok,8,8,0,0,0
Lead 560,lead560@mail.com,981619648,Ortodoncia,Facebook,Comentario FB,12,11,0,0,0
Lead 561,lead561@mail.com,986288117,Ortodoncia,Otro,Landing page,10,20,0,0,1
Lead 562,lead562@mail.com,927583780,Evaluación general,Otro,Anuncio Google,12,9,0,0,0
Lead 563,lead563@mail.com,910737954,Implantes,Otro,Landing page,12,23,1,0,0
Lead 564,lead564@mail.com,952622487,Evaluación general,Instagram,Historia,15,2,0,0,0
Lead 565,lead565@mail.com,962866880,Implantes,WhatsApp,Mensaje directo,19,10,1,0,1
Lead 566,lead566@mail.com,941197881,Ortodoncia,WhatsApp,Grupo de ofertas,10,22,1,0,0
Lead 567,lead567@mail.com,976927749,Blanqueamiento,Facebook,Comentario FB,18,26,0,0,0
Lead 568,lead568@mail.com,982412984,Ortodoncia,Facebook,Mensaje FB,13,20,0,0,0
Lead 569,lead569@mail.com,933383686,Evaluación general,WhatsApp,Mensaje directo,20,11,0,0,0
Lead 570,lead570@mail.com,963242838,Limpieza dental,TikTok,Live,10,14,0,0,0
Lead 571,lead571@mail.com,923721794,Evaluación general,Otro,Landing page,15,23,0,0,0
Lead 572,lead572@mail.com,931731798,Blanqueamiento,Instagram,Comentario IG,19,8,1,0,0
Lead 573,lead573@mail.com,966832433,Evaluación general,Otro,Landing page,18,25,0,1,1
Lead 574,lead574@mail.com,939537369,Evaluación general,TikTok,Live,17,14,0,0,0
Lead 575,lead575@mail.com,977853612,Blanqueamiento,Instagram,Inbox IG,18,6,0,0,0
Lead 576,lead576@mail.com,942775006,Ortodoncia,TikTok,Live,9,10,1,0,0
