servicio,canal,canal_origen,urgencia,mensaje_largo,referido,tratamiento_prev,interes_activo,es_mañana,dias_recientes,hora_contacto,dias_desde_contacto,nombre,correo,telefono
Ortodoncia,WhatsApp,Google Ads,Media,0,0,1,0,0,0,13,1,Pedro Torres Vásquez,pedro70@yahoo.es,+51 944723001
Extracción,Facebook,Página web,Baja,1,0,1,1,1,0,11,4,Rosa Gómez Sánchez,rosa62@gmail.com,+51 956940935
Cirugía oral,Instagram,Página web,Media,1,1,0,0,0,0,21,6,Renzo Sánchez Ruiz,renzo38@yahoo.es,+51 947618696
Ortodoncia,Otro,Página web,Baja,0,0,0,1,0,1,16,14,Ana Ramírez Cruz,ana19@yahoo.es,+51 926412350
Ortodoncia,Otro,Google Ads,Media,1,1,0,1,1,1,8,3,Carlos Sánchez Castro,carlos16@gmail.com,+51 916518690
Limpieza dental,Facebook,Página web,Baja,0,1,1,0,1,0,10,4,Ana Pérez Ramírez,ana43@gmail.com,+51 970362276
Implantes,WhatsApp,Recomendación,Alta,0,1,0,0,0,1,18,9,Lucía Sánchez Herrera,lucía10@outlook.com,+51 923003335
Blanqueamiento,Instagram,Llamada directa,Alta,0,1,0,0,0,0,12,9,José Mendoza Pérez,josé76@outlook.com,+51 938090780
Blanqueamiento,WhatsApp,Llamada directa,Baja,0,1,1,1,1,0,14,2,Elena Chávez Herrera,elena81@gmail.com,+51 982824126
Implantes,WhatsApp,Google Ads,Media,1,0,0,1,0,0,14,5,Andrea Castro Mendoza,andrea44@hotmail.com,+51 980174020
Cirugía oral,Instagram,Google Ads,Alta,0,0,0,0,0,0,12,4,Fiorella Rodríguez Sánchez,fiorella93@outlook.com,+51 945532842
Revisión general,Otro,Recomendación,Media,1,1,0,1,0,0,16,0,Karla Sánchez Castro,karla47@outlook.com,+51 959311043
Carillas,Instagram,Recomendación,Alta,0,0,1,1,0,0,13,2,Karla Gómez Rojas,karla32@yahoo.es,+51 915101766
Limpieza dental,Facebook,Llamada directa,Alta,1,0,1,1,1,0,14,7,Raúl Cruz Chávez,raúl67@yahoo.es,+51 973427697
Carillas,Facebook,Recomendación,Media,1,1,1,1,0,1,11,3,Diana Cruz Quispe,diana32@yahoo.es,+51 956023509
Carillas,Instagram,Recomendación,Media,0,0,1,0,0,0,6,8,Carmen Pérez Flores,carmen58@outlook.com,+51 973017772
Ortodoncia,WhatsApp,Google Ads,Baja,0,0,0,0,1,0,11,6,José Cruz Chávez,josé31@yahoo.es,+51 948632934
Cirugía oral,Otro,Recomendación,Baja,0,0,1,1,1,1,11,6,Jessica Torres Silva,jessica85@gmail.com,+51 959890856
Carillas,Instagram,Recomendación,Alta,1,0,0,0,1,1,14,4,Miguel Herrera Martínez,miguel90@gmail.com,+51 970811596
Endodoncia,Facebook,Llamada directa,Media,1,0,0,0,0,1,16,6,Karla Rojas Cruz,karla72@yahoo.es,+51 999507298
Endodoncia,Instagram,Google Ads,Baja,0,0,1,1,1,0,16,9,Rosa Castro Chávez,rosa58@hotmail.com,+51 915861423
Endodoncia,WhatsApp,Llamada directa,Baja,0,0,0,0,0,1,16,0,Diana Sánchez Sánchez,diana52@hotmail.com,+51 914667453
Limpieza dental,WhatsApp,Recomendación,Baja,1,1,0,0,0,1,10,1,Pedro Martínez Morales,pedro24@yahoo.es,+51 994508524
Extracción,Facebook,Recomendación,Alta,1,0,1,0,0,0,12,9,Diana Sánchez Sánchez,diana28@gmail.com,+51 981087488
Limpieza dental,Instagram,Recomendación,Media,0,0,1,1,0,1,14,0,Carmen Rodríguez Castro,carmen57@outlook.com,+51 948878084
Endodoncia,Facebook,Recomendación,Alta,1,1,1,1,1,0,21,1,Miguel Silva Rodríguez,miguel65@gmail.com,+51 936501873
Limpieza dental,Instagram,Google Ads,Baja,1,0,1,0,0,0,26,7,Raúl Herrera Rodríguez,raúl19@hotmail.com,+51 916431891
Endodoncia,Facebook,Llamada directa,Media,0,0,1,0,1,0,12,6,Andrea Silva Ruiz,andrea70@gmail.com,+51 965785300
Revisión general,WhatsApp,Página web,Baja,0,1,0,0,0,1,10,3,Elena Mendoza Castro,elena55@hotmail.com,+51 930507833
Carillas,WhatsApp,Llamada directa,Alta,1,0,1,0,0,0,10,8,Rosa Castro Morales,rosa38@yahoo.es,+51 993606936
Blanqueamiento,Instagram,Página web,Baja,1,1,0,0,0,0,10,0,Carmen Rojas Ruiz,carmen19@hotmail.com,+51 965480362
Endodoncia,Instagram,Llamada directa,Baja,1,1,1,0,0,0,19,13,Diana Vásquez Cruz,diana72@outlook.com,+51 950619184
Cirugía oral,Facebook,Llamada directa,Alta,1,1,1,0,0,1,17,7,Fiorella Pérez Pérez,fiorella40@hotmail.com,+51 962435334
Endodoncia,Otro,Página web,Media,0,0,1,1,1,0,6,5,Renzo Ruiz Sánchez,renzo53@outlook.com,+51 973412136
Implantes,Otro,Página web,Baja,1,0,0,1,0,0,7,9,María Torres Cruz,maría25@outlook.com,+51 992848978
Implantes,Facebook,Página web,Alta,1,1,1,1,0,0,18,8,Luis Flores Sánchez,luis11@hotmail.com,+51 923998893
Ortodoncia,Facebook,Google Ads,Baja,0,0,0,0,1,1,22,8,Diana Herrera García,diana52@outlook.com,+51 994418073
Revisión general,Facebook,Llamada directa,Media,0,1,1,1,0,0,18,4,Jorge Rojas Pérez,jorge21@outlook.com,+51 925341164
Ortodoncia,Otro,Google Ads,Baja,1,0,1,1,1,0,11,0,Carlos Flores Cruz,carlos27@hotmail.com,+51 927327084
Blanqueamiento,Facebook,Google Ads,Media,0,1,0,0,0,0,11,8,Pedro García Torres,pedro56@outlook.com,+51 919513031
Blanqueamiento,WhatsApp,Recomendación,Baja,1,1,0,0,0,0,15,8,Rosa Quispe Gómez,rosa61@gmail.com,+51 969272195
Implantes,WhatsApp,Recomendación,Alta,0,0,0,0,0,0,17,8,Raúl Morales Gómez,raúl63@yahoo.es,+51 920323491
Cirugía oral,WhatsApp,Página web,Baja,1,0,0,0,0,1,16,3,María Ramírez Cruz,maría60@outlook.com,+51 997087924
Revisión general,Facebook,Google Ads,Alta,0,0,1,0,0,0,7,8,Renzo Cruz Torres,renzo66@yahoo.es,+51 950396197
Carillas,Facebook,Página web,Media,1,0,1,0,0,0,15,4,José Rodríguez Ruiz,josé62@outlook.com,+51 950323887
Limpieza dental,WhatsApp,Recomendación,Baja,0,1,1,0,0,0,16,9,Elena Pérez Torres,elena42@yahoo.es,+51 995166058
Limpieza dental,WhatsApp,Google Ads,Media,1,0,1,1,0,1,17,5,Andrea Gómez García,andrea96@yahoo.es,+51 991542925
Limpieza dental,Facebook,Recomendación,Media,0,1,1,0,0,1,13,1,Carlos Vásquez Ruiz,carlos86@outlook.com,+51 951050368
Extracción,Facebook,Recomendación,Media,1,1,1,0,0,1,22,2,Andrea Rojas Sánchez,andrea32@gmail.com,+51 912606848
Ortodoncia,Otro,Recomendación,Baja,0,0,1,1,1,0,15,3,Fernando Castro Castro,fernando97@gmail.com,+51 932935195
Cirugía oral,WhatsApp,Página web,Baja,1,0,0,0,0,0,10,9,Luis Ramírez Rojas,luis18@yahoo.es,+51 989156158
Cirugía oral,Otro,Google Ads,Media,1,0,1,0,0,0,14,5,Karla Rodríguez Vásquez,karla83@yahoo.es,+51 965229041
Carillas,Otro,Recomendación,Alta,1,0,1,0,1,1,13,4,Jorge Ruiz Mendoza,jorge78@outlook.com,+51 999891213
Implantes,WhatsApp,Recomendación,Baja,1,0,1,0,0,0,8,13,Luis Ruiz Pérez,luis62@hotmail.com,+51 930279336
Extracción,Facebook,Página web,Alta,0,0,0,1,1,0,9,4,Fiorella Chávez Flores,fiorella56@yahoo.es,+51 952531359
Extracción,Otro,Google Ads,Baja,1,1,0,0,0,1,19,2,Luis Flores Quispe,luis76@outlook.com,+51 969472345
Limpieza dental,Instagram,Recomendación,Media,1,1,1,1,1,0,12,12,Karla Flores Herrera,karla34@yahoo.es,+51 919180619
Revisión general,Facebook,Página web,Media,1,0,1,0,0,0,22,3,Lucía Quispe Mendoza,lucía38@hotmail.com,+51 946831244
Carillas,Otro,Página web,Media,1,0,1,1,0,1,13,1,Ana Ramírez Castro,ana84@yahoo.es,+51 975475054
Blanqueamiento,Instagram,Google Ads,Media,0,1,1,1,0,0,18,9,Carlos Silva Gómez,carlos93@hotmail.com,+51 964995222
Revisión general,Facebook,Recomendación,Alta,1,1,1,0,1,0,18,2,José Ramírez Ruiz,josé32@yahoo.es,+51 957040829
Implantes,Instagram,Llamada directa,Alta,1,1,1,0,0,0,16,4,Carlos Rodríguez Ruiz,carlos74@hotmail.com,+51 973199966
Blanqueamiento,WhatsApp,Recomendación,Alta,1,1,1,0,1,0,12,6,María Rodríguez Flores,maría11@yahoo.es,+51 978646721
Ortodoncia,Otro,Llamada directa,Media,1,1,1,0,0,0,19,4,Rosa Sánchez Rojas,rosa75@outlook.com,+51 998583086
Implantes,Instagram,Recomendación,Alta,0,1,1,0,0,1,11,4,Ana Chávez Mendoza,ana90@outlook.com,+51 950313839
Carillas,WhatsApp,Página web,Baja,1,0,1,0,0,0,15,7,Jorge Cruz Herrera,jorge46@hotmail.com,+51 922725677
Implantes,Otro,Llamada directa,Alta,1,0,1,0,0,0,20,5,Fernando Pérez Rojas,fernando19@outlook.com,+51 927738528
Ortodoncia,WhatsApp,Google Ads,Baja,0,0,1,0,0,1,17,2,Fernando Gómez Gómez,fernando80@outlook.com,+51 963294309
Limpieza dental,Otro,Recomendación,Baja,1,0,0,1,0,0,13,4,Diana García Ramírez,diana12@yahoo.es,+51 937382523
Blanqueamiento,Instagram,Google Ads,Baja,0,0,0,0,0,0,12,9,Jorge Gómez Morales,jorge27@gmail.com,+51 924723214
Endodoncia,WhatsApp,Recomendación,Media,0,0,1,0,0,1,19,4,Lucía Rodríguez Rodríguez,lucía35@hotmail.com,+51 991462623
Endodoncia,Facebook,Llamada directa,Baja,0,1,1,0,0,1,20,8,Elena Silva Rojas,elena60@outlook.com,+51 914393369
Endodoncia,Otro,Recomendación,Media,1,1,0,1,0,1,11,6,José Castro Mendoza,josé77@hotmail.com,+51 916380983
Endodoncia,Otro,Google Ads,Alta,0,1,0,1,0,0,15,4,Rosa Mendoza Mendoza,rosa82@gmail.com,+51 943785956
Implantes,WhatsApp,Recomendación,Alta,1,0,1,1,0,0,17,3,Andrea Herrera Vásquez,andrea75@gmail.com,+51 983852142
Extracción,Instagram,Llamada directa,Alta,1,0,1,1,1,1,14,5,Jorge Cruz Cruz,jorge58@hotmail.com,+51 934873350
Revisión general,WhatsApp,Google Ads,Media,0,1,0,0,0,0,15,10,Jessica Pérez Martínez,jessica12@yahoo.es,+51 915853676
Revisión general,Otro,Página web,Baja,0,0,1,0,0,1,18,4,Carmen Torres Rodríguez,carmen12@gmail.com,+51 933065869
Blanqueamiento,Otro,Recomendación,Media,0,0,1,1,0,0,12,2,Pedro Pérez Sánchez,pedro17@yahoo.es,+51 972653380
Carillas,Facebook,Recomendación,Alta,1,1,0,0,1,1,16,3,Fernando Castro Cruz,fernando81@yahoo.es,+51 952608613
Revisión general,Otro,Página web,Alta,0,0,1,1,1,1,13,7,Diana Herrera Quispe,diana55@gmail.com,+51 997890403
Endodoncia,Instagram,Recomendación,Baja,0,0,1,1,0,0,15,3,Elena Ruiz Sánchez,elena32@outlook.com,+51 993755663
Cirugía oral,Otro,Página web,Baja,1,1,1,1,0,0,20,10,Luis Rojas Rojas,luis86@yahoo.es,+51 989247525
Cirugía oral,WhatsApp,Recomendación,Alta,1,1,0,0,0,1,18,8,Diana Cruz Silva,diana65@hotmail.com,+51 999841271
Carillas,Facebook,Google Ads,Baja,0,1,1,0,0,0,12,2,Diana Ramírez Rojas,diana93@gmail.com,+51 931438985
Endodoncia,WhatsApp,Página web,Baja,0,0,0,0,0,0,15,5,Elena Mendoza Torres,elena43@gmail.com,+51 913069513
Implantes,Otro,Google Ads,Baja,0,0,1,0,0,1,19,9,Carlos Martínez Sánchez,carlos42@yahoo.es,+51 915942870
Blanqueamiento,Otro,Recomendación,Alta,1,1,0,1,0,1,12,4,Raúl Quispe Rojas,raúl73@gmail.com,+51 967326656
Carillas,WhatsApp,Página web,Media,1,1,0,0,0,0,13,5,Lucía Quispe Rodríguez,lucía35@gmail.com,+51 927714026
Cirugía oral,Otro,Recomendación,Baja,1,1,0,1,0,1,19,8,Renzo Silva Vásquez,renzo63@yahoo.es,+51 932962205
Implantes,Instagram,Recomendación,Media,0,1,1,1,0,1,14,10,María Sánchez Chávez,maría33@gmail.com,+51 992475891
Cirugía oral,Instagram,Google Ads,Baja,0,0,1,0,1,0,9,7,Diana Sánchez Herrera,diana93@gmail.com,+51 959053724
Ortodoncia,WhatsApp,Llamada directa,Media,1,1,0,1,0,0,16,5,Fiorella Rodríguez Herrera,fiorella29@yahoo.es,+51 948358968
Blanqueamiento,WhatsApp,Llamada directa,Media,0,1,0,1,0,1,15,4,Diana Vásquez Mendoza,diana69@hotmail.com,+51 939365139
Cirugía oral,WhatsApp,Recomendación,Alta,1,1,1,1,0,0,18,1,Karla Castro Cruz,karla75@outlook.com,+51 986677025
Limpieza dental,Facebook,Google Ads,Baja,0,1,0,1,0,0,16,4,José Silva Flores,josé96@yahoo.es,+51 979033416
Implantes,Instagram,Recomendación,Media,1,0,0,0,1,0,17,4,Fernando Martínez Rojas,fernando94@gmail.com,+51 982290907
Revisión general,WhatsApp,Página web,Baja,0,1,1,0,1,1,12,7,Pedro Torres Cruz,pedro83@hotmail.com,+51 927275326
Implantes,Instagram,Página web,Media,1,1,0,0,0,0,18,4,Carmen Cruz García,carmen74@hotmail.com,+51 923337037
Cirugía oral,WhatsApp,Recomendación,Media,0,0,1,1,1,0,22,5,Luis Quispe Sánchez,luis12@hotmail.com,+51 917852444
Extracción,Otro,Llamada directa,Media,0,1,1,1,1,0,11,9,Jorge Ramírez Mendoza,jorge32@outlook.com,+51 929313614
Carillas,Otro,Página web,Alta,0,1,1,1,0,0,12,5,Jorge Chávez Gómez,jorge73@outlook.com,+51 925142703
Revisión general,Facebook,Página web,Alta,0,1,0,0,1,0,18,3,Pedro Gómez Flores,pedro79@gmail.com,+51 939056338
Carillas,Otro,Página web,Alta,0,1,1,0,1,1,14,1,Lucía Rodríguez Ruiz,lucía97@yahoo.es,+51 910392999
Blanqueamiento,Otro,Página web,Media,0,0,0,1,0,1,11,4,Ana Chávez García,ana40@gmail.com,+51 912069986
Endodoncia,Facebook,Google Ads,Media,0,1,0,0,1,0,10,2,María Silva Flores,maría23@outlook.com,+51 924052611
Limpieza dental,WhatsApp,Google Ads,Alta,1,1,1,1,1,0,25,3,Luis Chávez Morales,luis23@hotmail.com,+51 985575224
Implantes,Otro,Llamada directa,Media,0,0,1,0,1,0,8,14,Elena Torres Quispe,elena26@hotmail.com,+51 958744343
Carillas,Facebook,Llamada directa,Baja,1,1,1,1,0,0,10,4,Karla Ruiz Quispe,karla27@yahoo.es,+51 933138081
Ortodoncia,WhatsApp,Página web,Alta,0,0,1,0,0,1,16,6,Karla Rojas Chávez,karla64@yahoo.es,+51 989065726
Endodoncia,WhatsApp,Llamada directa,Alta,0,0,0,1,1,1,10,11,Luis Chávez Silva,luis34@yahoo.es,+51 992389128
Blanqueamiento,Otro,Página web,Media,1,0,0,1,0,1,15,2,Ana Herrera Pérez,ana66@hotmail.com,+51 910882072
Blanqueamiento,Otro,Página web,Media,0,1,0,0,0,0,9,6,Renzo Vásquez Rodríguez,renzo76@yahoo.es,+51 998738846
Implantes,Instagram,Página web,Alta,1,0,1,1,1,0,13,8,Fiorella Rojas Gómez,fiorella30@outlook.com,+51 945892858
Endodoncia,Instagram,Recomendación,Alta,0,0,0,0,0,1,13,6,Carlos Castro Chávez,carlos28@hotmail.com,+51 989003854
Cirugía oral,Otro,Google Ads,Media,1,0,0,0,0,1,11,4,María Martínez Mendoza,maría76@gmail.com,+51 987141550
Revisión general,Instagram,Google Ads,Alta,1,0,0,1,0,0,15,7,Carmen Rodríguez Ruiz,carmen76@yahoo.es,+51 988096726
Endodoncia,WhatsApp,Recomendación,Media,1,1,1,1,0,1,12,2,José Silva Flores,josé14@yahoo.es,+51 989673815
Blanqueamiento,Instagram,Google Ads,Baja,0,1,1,1,0,1,17,4,Fernando Morales Gómez,fernando29@yahoo.es,+51 941972923
Endodoncia,WhatsApp,Página web,Alta,0,0,0,1,1,1,11,0,Pedro Cruz García,pedro80@hotmail.com,+51 998401539
Revisión general,Instagram,Página web,Baja,0,1,0,0,0,0,16,7,Renzo García Castro,renzo26@outlook.com,+51 960226305
Cirugía oral,WhatsApp,Recomendación,Media,1,0,0,0,1,1,17,9,Lucía Quispe Castro,lucía76@hotmail.com,+51 999835317
Cirugía oral,WhatsApp,Google Ads,Media,1,1,1,0,1,1,17,7,Elena Vásquez Castro,elena79@yahoo.es,+51 981627004
Revisión general,WhatsApp,Google Ads,Alta,0,0,1,0,1,1,19,7,Elena Ruiz Torres,elena81@yahoo.es,+51 963146665
Revisión general,Facebook,Recomendación,Baja,1,1,0,0,0,1,8,5,Renzo Morales Gómez,renzo42@hotmail.com,+51 914878598
Blanqueamiento,Facebook,Página web,Baja,1,1,1,1,1,1,9,3,Lucía Rodríguez Martínez,lucía90@gmail.com,+51 917876992
Cirugía oral,WhatsApp,Google Ads,Alta,1,0,1,1,1,0,8,1,Carlos Ruiz Morales,carlos27@yahoo.es,+51 986767204
Extracción,Otro,Llamada directa,Media,1,1,1,1,1,1,16,2,Ana Herrera García,ana23@hotmail.com,+51 937506969
Extracción,Otro,Página web,Baja,0,0,1,0,0,0,10,3,Miguel Gómez Rojas,miguel21@yahoo.es,+51 927630492
Revisión general,Otro,Página web,Baja,1,0,0,1,0,1,12,6,José Silva Rodríguez,josé93@yahoo.es,+51 974919018
Endodoncia,Otro,Recomendación,Media,0,1,1,1,0,0,17,9,Rosa Martínez Ramírez,rosa26@yahoo.es,+51 981663078
Blanqueamiento,WhatsApp,Recomendación,Baja,1,1,0,1,0,0,17,6,Jessica Chávez Cruz,jessica52@yahoo.es,+51 932406811
Limpieza dental,Instagram,Página web,Baja,0,1,1,0,0,0,5,5,Rosa Chávez Morales,rosa99@outlook.com,+51 956826751
Ortodoncia,Instagram,Página web,Media,1,0,0,0,0,1,14,11,Pedro Morales Quispe,pedro69@hotmail.com,+51 952711557
Implantes,Otro,Llamada directa,Alta,1,0,0,1,0,0,12,7,Pedro Pérez Rojas,pedro17@yahoo.es,+51 975033227
Carillas,Facebook,Google Ads,Baja,1,1,1,1,1,0,15,1,María Mendoza Gómez,maría27@yahoo.es,+51 925988058
Cirugía oral,Otro,Página web,Media,0,1,1,1,0,0,14,5,José Rodríguez Quispe,josé52@gmail.com,+51 948472368
Extracción,Otro,Llamada directa,Media,1,1,0,1,1,0,13,4,Karla Vásquez Herrera,karla78@outlook.com,+51 971319616
Ortodoncia,WhatsApp,Página web,Baja,1,1,1,0,0,1,20,0,Fernando Torres Cruz,fernando19@gmail.com,+51 948868771
Cirugía oral,Otro,Llamada directa,Alta,1,0,1,0,0,1,15,8,Rosa Morales Vásquez,rosa10@yahoo.es,+51 996229590
Cirugía oral,Otro,Página web,Alta,1,1,0,0,0,0,12,6,Renzo Flores Vásquez,renzo30@hotmail.com,+51 994447510
Endodoncia,Facebook,Google Ads,Baja,0,1,1,1,0,0,13,11,Ana Cruz Mendoza,ana96@yahoo.es,+51 941459492
Endodoncia,WhatsApp,Página web,Alta,1,0,0,0,1,0,7,9,Luis Sánchez Martínez,luis44@yahoo.es,+51 999792500
Carillas,Facebook,Página web,Baja,0,0,0,1,1,1,7,3,Renzo Morales García,renzo46@gmail.com,+51 942288637
Revisión general,Otro,Recomendación,Alta,0,0,1,0,0,0,12,7,Fernando Ramírez Vásquez,fernando32@outlook.com,+51 914783122
Implantes,WhatsApp,Google Ads,Media,1,1,1,0,1,1,15,6,José Ruiz García,josé51@yahoo.es,+51 938127867
Endodoncia,Instagram,Página web,Alta,1,0,0,1,0,1,18,5,Miguel Morales Morales,miguel59@gmail.com,+51 939859498
Endodoncia,Instagram,Página web,Baja,0,0,1,0,0,0,10,0,Elena Cruz Mendoza,elena62@outlook.com,+51 957056717
Extracción,WhatsApp,Llamada directa,Alta,1,1,0,0,0,1,16,8,Pedro Silva Morales,pedro44@gmail.com,+51 918044529
Limpieza dental,Otro,Google Ads,Media,0,1,0,1,0,0,21,0,Elena Mendoza Ramírez,elena77@yahoo.es,+51 949440657
Endodoncia,WhatsApp,Llamada directa,Baja,1,0,1,1,0,1,19,1,Andrea Quispe Martínez,andrea36@gmail.com,+51 991593680
Ortodoncia,Facebook,Google Ads,Alta,1,1,0,0,1,0,17,6,Lucía Quispe García,lucía15@hotmail.com,+51 943480803
Blanqueamiento,Otro,Llamada directa,Alta,0,0,0,0,1,0,9,2,María Cruz Sánchez,maría42@outlook.com,+51 960512751
Blanqueamiento,Facebook,Recomendación,Media,1,0,1,0,0,0,12,3,Renzo Cruz Vásquez,renzo66@yahoo.es,+51 953774188
Implantes,WhatsApp,Página web,Baja,0,0,0,1,1,0,17,5,Elena Rodríguez Cruz,elena82@hotmail.com,+51 913889059
Implantes,Instagram,Recomendación,Media,1,0,1,0,0,0,16,7,Fernando Ramírez Cruz,fernando17@yahoo.es,+51 933385552
Implantes,WhatsApp,Llamada directa,Media,0,0,1,1,0,0,16,4,Pedro Herrera Chávez,pedro18@outlook.com,+51 970317451
Carillas,WhatsApp,Recomendación,Alta,0,0,0,1,0,0,17,10,Pedro Flores Gómez,pedro98@hotmail.com,+51 932345006
Ortodoncia,Otro,Llamada directa,Media,0,1,0,0,0,0,13,2,María Ruiz Rodríguez,maría64@gmail.com,+51 997488329
Ortodoncia,Instagram,Página web,Media,1,0,1,1,0,1,12,9,Raúl García Torres,raúl14@gmail.com,+51 994136753
Implantes,Instagram,Recomendación,Baja,0,0,0,0,1,0,30,2,Jorge Sánchez Torres,jorge89@outlook.com,+51 964097554
Cirugía oral,Facebook,Recomendación,Media,0,0,0,0,0,1,15,11,Diana Torres García,diana50@outlook.com,+51 970880265
Endodoncia,Facebook,Llamada directa,Alta,0,0,1,1,1,0,19,10,Renzo Mendoza García,renzo83@gmail.com,+51 912751265
Implantes,Otro,Google Ads,Media,0,0,0,0,0,0,14,6,Lucía Morales García,lucía13@gmail.com,+51 962154915
Endodoncia,Instagram,Google Ads,Baja,0,1,1,1,1,1,15,8,Renzo Silva Chávez,renzo44@hotmail.com,+51 956706377
Extracción,WhatsApp,Llamada directa,Alta,0,0,0,1,0,1,13,8,Pedro Ramírez Cruz,pedro72@yahoo.es,+51 938311534
Endodoncia,Instagram,Llamada directa,Media,0,1,0,1,1,0,15,4,Karla Mendoza Quispe,karla54@hotmail.com,+51 962163651
Cirugía oral,Instagram,Página web,Baja,0,0,1,1,1,0,9,5,Andrea Torres Quispe,andrea75@hotmail.com,+51 951776168
Extracción,Otro,Página web,Baja,0,0,0,1,0,0,18,1,José Rojas Mendoza,josé64@gmail.com,+51 915475216
Blanqueamiento,WhatsApp,Página web,Media,0,1,1,0,0,0,27,1,Lucía Rojas Mendoza,lucía62@hotmail.com,+51 958287970
Extracción,WhatsApp,Llamada directa,Alta,1,0,0,1,0,0,15,9,Miguel Chávez Silva,miguel37@gmail.com,+51 996035638
Limpieza dental,Otro,Recomendación,Media,1,1,1,0,0,0,7,5,Karla Chávez Silva,karla38@yahoo.es,+51 983325283
Revisión general,Instagram,Recomendación,Media,1,0,0,0,0,1,11,8,Renzo Vásquez Vásquez,renzo76@hotmail.com,+51 910927358
Revisión general,WhatsApp,Recomendación,Alta,1,0,0,1,1,1,20,7,Carmen Quispe Rodríguez,carmen91@yahoo.es,+51 917791966
Blanqueamiento,Facebook,Google Ads,Baja,0,1,0,0,0,1,9,6,Fiorella Rojas Ramírez,fiorella28@hotmail.com,+51 975167985
Limpieza dental,Instagram,Google Ads,Baja,1,1,0,0,0,0,16,9,María Vásquez Rodríguez,maría52@outlook.com,+51 979423281
Carillas,Otro,Google Ads,Media,1,1,1,0,1,0,19,9,Fernando Mendoza Torres,fernando67@outlook.com,+51 993586165
Cirugía oral,Facebook,Llamada directa,Media,1,0,1,0,0,0,16,3,Karla Ruiz Silva,karla10@hotmail.com,+51 917932709
Cirugía oral,WhatsApp,Página web,Baja,0,1,1,0,0,1,7,1,María Cruz Pérez,maría35@yahoo.es,+51 974248610
Cirugía oral,Facebook,Recomendación,Alta,1,1,0,0,0,0,12,2,Fiorella Flores Torres,fiorella34@gmail.com,+51 962347355
Implantes,Facebook,Recomendación,Media,0,1,1,0,1,1,18,9,Rosa Sánchez Martínez,rosa65@yahoo.es,+51 962034407
Blanqueamiento,Facebook,Llamada directa,Media,0,0,1,1,0,0,10,8,Carmen Castro Flores,carmen63@hotmail.com,+51 921054718
Limpieza dental,Instagram,Página web,Media,1,1,0,0,0,0,16,0,Jessica Herrera Herrera,jessica81@gmail.com,+51 936380654
Limpieza dental,Instagram,Recomendación,Alta,1,0,0,0,0,0,10,5,Elena Castro Chávez,elena68@gmail.com,+51 961224418
Carillas,Otro,Recomendación,Media,0,1,0,0,0,1,17,9,Carmen Flores Silva,carmen41@yahoo.es,+51 996814939
Blanqueamiento,WhatsApp,Llamada directa,Baja,0,1,0,0,0,0,15,2,Ana Silva García,ana46@hotmail.com,+51 911827414
Ortodoncia,WhatsApp,Página web,Alta,1,1,0,0,0,0,15,5,Jessica Morales Ramírez,jessica71@yahoo.es,+51 920621032
Endodoncia,Otro,Recomendación,Baja,0,0,1,1,0,1,11,8,Pedro Martínez Torres,pedro28@yahoo.es,+51 943710012
Carillas,Facebook,Google Ads,Baja,0,0,1,1,0,1,10,7,Renzo Mendoza Gómez,renzo73@gmail.com,+51 986928919
Ortodoncia,Instagram,Recomendación,Media,1,1,0,1,1,0,5,1,Elena Silva Vásquez,elena53@hotmail.com,+51 972931679
Carillas,Facebook,Recomendación,Media,1,0,1,1,0,0,11,7,Renzo Vásquez Quispe,renzo49@yahoo.es,+51 959335739
Carillas,Otro,Google Ads,Media,1,1,0,1,0,1,12,6,Renzo Sánchez Mendoza,renzo65@hotmail.com,+51 941733438
Implantes,Instagram,Llamada directa,Alta,0,0,1,0,0,1,16,8,Andrea Morales Ruiz,andrea13@hotmail.com,+51 934861281
Revisión general,Instagram,Google Ads,Baja,0,0,1,1,0,1,7,3,María Chávez Sánchez,maría47@outlook.com,+51 919894468
Extracción,WhatsApp,Llamada directa,Media,1,1,0,1,0,1,20,8,María Pérez Chávez,maría37@hotmail.com,+51 977687071
Endodoncia,Instagram,Página web,Alta,1,1,1,0,0,0,11,6,Renzo Mendoza Vásquez,renzo86@gmail.com,+51 959533704
Endodoncia,Otro,Google Ads,Baja,1,0,0,1,1,0,12,10,Carlos Gómez Pérez,carlos54@yahoo.es,+51 959812947
Limpieza dental,Instagram,Recomendación,Alta,0,1,1,1,0,1,16,5,Fernando Castro Pérez,fernando24@gmail.com,+51 970411492
Extracción,WhatsApp,Google Ads,Baja,1,0,1,1,1,1,13,3,Raúl Pérez Chávez,raúl15@yahoo.es,+51 954944535
Extracción,WhatsApp,Llamada directa,Media,1,1,1,0,0,0,16,1,Elena Mendoza Chávez,elena13@gmail.com,+51 993570650
Implantes,WhatsApp,Recomendación,Media,0,1,1,0,0,1,11,9,María Sánchez Castro,maría45@outlook.com,+51 949449391
Extracción,WhatsApp,Recomendación,Media,0,1,1,1,1,0,11,0,Pedro Chávez García,pedro72@gmail.com,+51 981519055
Limpieza dental,Otro,Página web,Alta,1,0,1,0,1,0,13,0,Raúl Castro Quispe,raúl74@gmail.com,+51 932219440
Limpieza dental,Otro,Llamada directa,Baja,0,0,1,0,0,0,12,5,Rosa Castro Silva,rosa84@gmail.com,+51 921292165
